date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:21:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202019%2008:21:52%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-list-media.html	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/material/ui-list-media.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-sweetalert.html)
15:21:53	0/-1	---M--	301	error ('')			https://wrappixel.com/demos/admin-templates/material-pro/material/layout-logo-center.html	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/material/layout-logo-center.13a.delayed	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-sweetalert.html)
15:21:53	21612/21612	---M--	200	added ('OK')	image/png	etag:%22546c-580e4e6736a3f%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/alert/alert.png	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/images/alert/alert.png	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-sweetalert.html)
15:21:53	21633/21633	---M--	200	added ('OK')	image/png	etag:%225481-580e4e6736a3f%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/alert/alert2.png	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/images/alert/alert2.png	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-sweetalert.html)
15:21:54	21948/21948	---M--	200	added ('OK')	image/png	etag:%2255bc-580e4e6736a3f%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/alert/alert3.png	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/images/alert/alert3.png	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-sweetalert.html)
15:21:54	22961/22961	---M--	200	added ('OK')	image/png	etag:%2259b1-580e4e6736a3f%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/alert/alert4.png	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/images/alert/alert4.png	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-sweetalert.html)
15:21:54	23191/23191	---M--	200	added ('OK')	image/png	etag:%225a97-580e4e6736a3f%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/alert/alert5.png	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/images/alert/alert5.png	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-sweetalert.html)
15:21:54	23729/23729	---M--	200	added ('OK')	image/png	etag:%225cb1-580e4e6736a3f%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/alert/alert7.png	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/images/alert/alert7.png	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-sweetalert.html)
15:21:54	23227/23227	---M--	200	added ('OK')	image/png	etag:%225abb-580e4e6736a3f%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/alert/alert6.png	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/images/alert/alert6.png	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-sweetalert.html)
15:21:55	116693/116693	---M-Z	200	added ('OK')	application/javascript	etag:%221c7d5-580e4e678a616-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/plugins/sweetalert/sweetalert.min.js	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/plugins/sweetalert/sweetalert.min.js	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-sweetalert.html)
15:21:55	2694/2694	---M-Z	200	added ('OK')	application/javascript	etag:%22a86-580e4e678a22e-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/plugins/sweetalert/jquery.sweet-alert.custom.js	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/plugins/sweetalert/jquery.sweet-alert.custom.js	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-sweetalert.html)
15:21:55	4910/4910	---M-Z	200	added ('OK')	text/css	etag:%22132e-580e4e6793a86-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/plugins/toast-master/css/jquery.toast.css	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/plugins/toast-master/css/jquery.toast.css	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-notification.html)
15:21:56	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202019%2008:21:55%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/login.html	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/material/login.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-notification.html)
15:21:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202019%2008:21:55%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-list-media.html	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/material/ui-list-media.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-notification.html)
15:21:57	0/-1	---M--	301	error ('')			https://wrappixel.com/demos/admin-templates/material-pro/material/layout-logo-center.html	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/material/layout-logo-center.147.delayed	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-notification.html)
15:21:57	12440/12440	---M-Z	200	added ('OK')	application/javascript	etag:%223098-580e4e6793a86-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/plugins/toast-master/js/jquery.toast.js	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/plugins/toast-master/js/jquery.toast.js	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-notification.html)
15:21:57	1567/1567	---M-Z	200	added ('OK')	application/javascript	etag:%2261f-580e4e6897aac-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/js/toastr.js	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/material/js/toastr.js	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-notification.html)
15:21:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202019%2008:21:57%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/login.html	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/material/login.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-progressbar.html)
15:21:59	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202019%2008:21:57%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-list-media.html	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/material/ui-list-media.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-progressbar.html)
15:21:59	0/-1	---M--	301	error ('')			https://wrappixel.com/demos/admin-templates/material-pro/material/layout-logo-center.html	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/material/layout-logo-center.14c.delayed	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-progressbar.html)
15:21:59	2873/2873	---M-Z	200	added ('OK')	text/css	etag:%22b39-580e4e677f266-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/plugins/nestable/nestable.css	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/plugins/nestable/nestable.css	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-nestable.html)
15:22:00	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202019%2008:21:58%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/login.html	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/material/login.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-nestable.html)
